policy,budget,seeds,top1_mean,top1_std,usable_mean,usable_std,lat_mean,lat_std
keyframe,0.125,3,0.0,0.0,0.0,0.0,51.36000000000001,0.02645751311064467
semantic,0.125,3,0.0011,0.001905255888325765,0.013333333333333334,0.015275252316519466,44.839999999999996,0.2029778313018474
tail,0.125,3,0.0,0.0,0.0,0.0,61.07666666666666,0.06429100507328574
uniform,0.125,3,0.0011,0.001905255888325765,0.0,0.0,44.949999999999996,0.496689037527508
keyframe,0.25,3,0.041800000000000004,0.005040833264451424,0.5766666666666667,0.040414518843273774,63.413333333333334,0.08020806277010833
semantic,0.25,3,0.3212,0.01524204710660614,4.796666666666667,0.17953644012660294,43.78,0.2961418578992187
tail,0.25,3,0.0352,0.0019052558883257634,0.61,0.043588989435406775,72.61,0.124899959967967
uniform,0.25,3,0.2057,0.01905255888325765,1.6866666666666668,0.11676186592091328,43.15,0.809876533800058
keyframe,0.375,3,0.19140000000000001,0.008730979326513158,6.9799999999999995,0.20880613017821092,65.18666666666667,0.09018499505646095
semantic,0.375,3,0.6843,0.019336235414371652,20.626666666666665,0.27574142476844765,43.77333333333333,0.7848779098263186
tail,0.375,3,0.1661,0.0019052558883257634,6.656666666666666,0.0351188458428426,73.43333333333334,0.08326663997864239
uniform,0.375,3,0.5226000000000001,0.013738995596476474,11.44,0.22538855339169322,42.50333333333334,0.3914502948438465
keyframe,0.5,3,0.3674,0.008304817878797803,19.62,0.24269322199023144,60.77333333333333,0.34122328955294545
semantic,0.5,3,0.8405,0.014880524184315583,36.24333333333333,0.35571524191877735,37.163333333333334,0.9047283201786772
tail,0.5,3,0.3201,0.0032999999999999974,18.76,0.18083141320025103,67.76,0.3061045573002788
uniform,0.5,3,0.7151,0.01060801583709228,23.75,0.27874719729532743,36.79,0.2628687885618998
keyframe,0.75,3,0.7107,0.013738995596476455,45.126666666666665,0.5159780357082364,47.656666666666666,0.5675679107678095
semantic,0.75,3,0.923,0.006869497798238237,63.663333333333334,0.6363437226321411,25.436666666666667,0.40377386410382315
tail,0.75,3,0.6403,0.01319999999999999,42.60333333333333,0.6671081871280972,52.666666666666664,0.6351640208114226
uniform,0.75,3,0.8658,0.011589219128138017,51.346666666666664,0.6771508940652231,25.396666666666665,0.3511884584284242
keyframe,1.0,3,0.8647,0.008730979326513132,71.51333333333334,0.574572304704405,31.78333333333333,0.4508140784551158
semantic,1.0,3,0.9516,0.005040833264451377,81.72666666666667,0.06806859285553771,16.626666666666665,0.2706165799305972
tail,1.0,3,0.8273,0.029761048368631107,68.72333333333334,0.36501141534660914,34.70666666666667,0.4535783651513078
uniform,1.0,3,0.9329000000000001,0.005040833264451438,73.32666666666667,0.4445597072760172,15.81,0.4479955356920422
